ABUNDANCE,BIOMAS,GENUS_SPECIES,SAMPLE_DESC,PLOT,LATITUDE,LONGITUDE,DAY,MONTH,YEAR
5,0,Pink encrusting bryozoan,33.27325_-119.48615_5_10_1986_12.2_L15_1_13,L15_1_13,33.27325,-119.48615,5,10,1986
5,0,Pink encrusting bryozoan,33.27325_-119.48615_5_10_1986_12.2_L45_1_13,L45_1_13,33.27325,-119.48615,5,10,1986
5,0,Pink encrusting bryozoan,33.27325_-119.48615_5_10_1986_12.2_R25_1_13,R25_1_13,33.27325,-119.48615,5,10,1986
5,0,Pink encrusting bryozoan,33.27325_-119.48615_24_4_1987_12.2_R35_1_14,R35_1_14,33.27325,-119.48615,24,4,1987
5,0,Pink encrusting bryozoan,33.27325_-119.48615_24_4_1987_12.2_R45_1_14,R45_1_14,33.27325,-119.48615,24,4,1987
5,0,Pink encrusting bryozoan,33.27325_-119.48615_7_10_1987_12.2_L15_1_15,L15_1_15,33.27325,-119.48615,7,10,1987
5,0,Pink encrusting bryozoan,33.27325_-119.48615_7_10_1987_12.2_R15_1_15,R15_1_15,33.27325,-119.48615,7,10,1987
5,0,Pink encrusting bryozoan,33.27325_-119.48615_7_10_1987_12.2_R35_1_15,R35_1_15,33.27325,-119.48615,7,10,1987
5,0,Pink encrusting bryozoan,33.27325_-119.48615_7_10_1987_12.2_R45_1_15,R45_1_15,33.27325,-119.48615,7,10,1987
5,0,Pink encrusting bryozoan,33.27325_-119.48615_26_4_1988_12.2_L25_1_16,L25_1_16,33.27325,-119.48615,26,4,1988
5,0,Pink encrusting bryozoan,33.27325_-119.48615_26_4_1988_12.2_L45_1_16,L45_1_16,33.27325,-119.48615,26,4,1988
5,0,Pink encrusting bryozoan,33.27325_-119.48615_26_4_1988_12.2_R35_1_16,R35_1_16,33.27325,-119.48615,26,4,1988
5,0,Pink encrusting bryozoan,33.27325_-119.48615_18_4_1989_12.2_L45_1_18,L45_1_18,33.27325,-119.48615,18,4,1989
5,0,Pink encrusting bryozoan,33.27325_-119.48615_19_4_1989_12.2_R45_1_18,R45_1_18,33.27325,-119.48615,19,4,1989
5,0,Pink encrusting bryozoan,33.27325_-119.48615_9_10_1991_12.2_L45_1_23,L45_1_23,33.27325,-119.48615,9,10,1991
5,0,Pink encrusting bryozoan,33.27325_-119.48615_7_10_1994_12.2_L15_1_29,L15_1_29,33.27325,-119.48615,7,10,1994
5,0,Pink encrusting bryozoan,33.27325_-119.48615_24_4_1999_12.2_R25_1_38,R25_1_38,33.27325,-119.48615,24,4,1999
5,0,Pink encrusting bryozoan,33.27325_-119.48615_24_4_1999_12.2_R35_1_38,R35_1_38,33.27325,-119.48615,24,4,1999
5,0,Pink encrusting bryozoan,33.27325_-119.48615_5_5_2001_12.2_R05_1_42,R05_1_42,33.27325,-119.48615,5,5,2001
5,0,Pink encrusting bryozoan,33.27325_-119.48615_5_5_2001_12.2_R35_1_42,R35_1_42,33.27325,-119.48615,5,5,2001
5,0,Pink encrusting bryozoan,33.27325_-119.48615_25_10_2004_12.2_L05_1_49,L05_1_49,33.27325,-119.48615,25,10,2004
5,0,Pink encrusting bryozoan,33.27325_-119.48615_25_10_2004_12.2_R35_1_49,R35_1_49,33.27325,-119.48615,25,10,2004
5,0,Pink encrusting bryozoan,33.27325_-119.48615_9_5_2005_12.2_L25_1_50,L25_1_50,33.27325,-119.48615,9,5,2005
5,0,Pink encrusting bryozoan,33.27325_-119.48615_17_10_2005_12.2_R05_1_51,R05_1_51,33.27325,-119.48615,17,10,2005
5,0,Pink encrusting bryozoan,33.27325_-119.48615_21_4_2006_12.2_L05_1_52,L05_1_52,33.27325,-119.48615,21,4,2006
5,0,Pink encrusting bryozoan,33.27325_-119.48615_21_4_2006_12.2_L15_1_52,L15_1_52,33.27325,-119.48615,21,4,2006
5,0,Pink encrusting bryozoan,33.27325_-119.48615_21_4_2006_12.2_L25_1_52,L25_1_52,33.27325,-119.48615,21,4,2006
5,0,Pink encrusting bryozoan,33.27325_-119.48615_21_4_2006_12.2_R25_1_52,R25_1_52,33.27325,-119.48615,21,4,2006
5,0,Pink encrusting bryozoan,33.27325_-119.48615_16_10_2006_12.2_R15_1_53,R15_1_53,33.27325,-119.48615,16,10,2006
5,0,Pink encrusting bryozoan,33.27325_-119.48615_2_11_2007_12.2_L05_1_55,L05_1_55,33.27325,-119.48615,2,11,2007
5,0,Pink encrusting bryozoan,33.27325_-119.48615_2_11_2007_12.2_R25_1_55,R25_1_55,33.27325,-119.48615,2,11,2007
5,0,Pink encrusting bryozoan,33.27325_-119.48615_13_12_2010_12.2_L15_1_61,L15_1_61,33.27325,-119.48615,13,12,2010
5,0,Pink encrusting bryozoan,33.27325_-119.48615_22_10_2011_12.2_L15_1_63,L15_1_63,33.27325,-119.48615,22,10,2011
5,0,Pink encrusting bryozoan,33.27325_-119.48615_22_10_2011_12.2_R05_1_63,R05_1_63,33.27325,-119.48615,22,10,2011
5,0,Pink encrusting bryozoan,33.24763_-119.57038_16_10_1982_11.6_L35_2_5,L35_2_5,33.24763,-119.57038,16,10,1982
5,0,Pink encrusting bryozoan,33.24763_-119.57038_13_9_1983_11.6_R05_2_7,R05_2_7,33.24763,-119.57038,13,9,1983
5,0,Pink encrusting bryozoan,33.24763_-119.57038_5_10_1984_11.6_L25_2_9,L25_2_9,33.24763,-119.57038,5,10,1984
5,0,Pink encrusting bryozoan,33.24763_-119.57038_5_10_1984_11.6_L35_2_9,L35_2_9,33.24763,-119.57038,5,10,1984
5,0,Pink encrusting bryozoan,33.24763_-119.57038_27_4_1985_11.6_L05_2_10,L05_2_10,33.24763,-119.57038,27,4,1985
5,0,Pink encrusting bryozoan,33.24763_-119.57038_27_4_1985_11.6_L15_2_10,L15_2_10,33.24763,-119.57038,27,4,1985
5,0,Pink encrusting bryozoan,33.24763_-119.57038_27_4_1985_11.6_L35_2_10,L35_2_10,33.24763,-119.57038,27,4,1985
5,0,Pink encrusting bryozoan,33.24763_-119.57038_6_9_1985_11.6_L35_2_11,L35_2_11,33.24763,-119.57038,6,9,1985
5,0,Pink encrusting bryozoan,33.24763_-119.57038_6_9_1985_11.6_R05_2_11,R05_2_11,33.24763,-119.57038,6,9,1985
5,0,Pink encrusting bryozoan,33.24763_-119.57038_6_9_1985_11.6_R25_2_11,R25_2_11,33.24763,-119.57038,6,9,1985
5,0,Pink encrusting bryozoan,33.24763_-119.57038_23_4_1987_11.6_L10_2_14,L10_2_14,33.24763,-119.57038,23,4,1987
5,0,Pink encrusting bryozoan,33.24763_-119.57038_23_4_1987_11.6_R05_2_14,R05_2_14,33.24763,-119.57038,23,4,1987
5,0,Pink encrusting bryozoan,33.24763_-119.57038_10_10_1987_11.6_R05_2_15,R05_2_15,33.24763,-119.57038,10,10,1987
5,0,Pink encrusting bryozoan,33.24763_-119.57038_10_10_1987_11.6_R10_2_15,R10_2_15,33.24763,-119.57038,10,10,1987
5,0,Pink encrusting bryozoan,33.24763_-119.57038_10_10_1987_11.6_R15_2_15,R15_2_15,33.24763,-119.57038,10,10,1987
5,0,Pink encrusting bryozoan,33.24763_-119.57038_27_4_1988_11.6_L05_2_16,L05_2_16,33.24763,-119.57038,27,4,1988
5,0,Pink encrusting bryozoan,33.24763_-119.57038_27_4_1988_11.6_R15_2_16,R15_2_16,33.24763,-119.57038,27,4,1988
5,0,Pink encrusting bryozoan,33.24763_-119.57038_7_10_1988_11.6_R35_2_17,R35_2_17,33.24763,-119.57038,7,10,1988
5,0,Pink encrusting bryozoan,33.24763_-119.57038_20_4_1989_11.6_R05_2_18,R05_2_18,33.24763,-119.57038,20,4,1989
5,0,Pink encrusting bryozoan,33.24763_-119.57038_20_4_1989_11.6_R10_2_18,R10_2_18,33.24763,-119.57038,20,4,1989
5,0,Pink encrusting bryozoan,33.24763_-119.57038_11_11_1989_11.6_L15_2_19,L15_2_19,33.24763,-119.57038,11,11,1989
5,0,Pink encrusting bryozoan,33.24763_-119.57038_12_10_1991_11.6_L05_2_23,L05_2_23,33.24763,-119.57038,12,10,1991
5,0,Pink encrusting bryozoan,33.24763_-119.57038_18_4_1994_11.6_L05_2_28,L05_2_28,33.24763,-119.57038,18,4,1994
5,0,Pink encrusting bryozoan,33.24763_-119.57038_18_4_1994_11.6_L35_2_28,L35_2_28,33.24763,-119.57038,18,4,1994
5,0,Pink encrusting bryozoan,33.24763_-119.57038_18_4_1994_11.6_R15_2_28,R15_2_28,33.24763,-119.57038,18,4,1994
5,0,Pink encrusting bryozoan,33.24763_-119.57038_8_10_1994_11.6_L10_2_29,L10_2_29,33.24763,-119.57038,8,10,1994
5,0,Pink encrusting bryozoan,33.24763_-119.57038_8_10_1994_11.6_L15_2_29,L15_2_29,33.24763,-119.57038,8,10,1994
5,0,Pink encrusting bryozoan,33.24763_-119.57038_8_10_1994_11.6_L35_2_29,L35_2_29,33.24763,-119.57038,8,10,1994
5,0,Pink encrusting bryozoan,33.24763_-119.57038_8_10_1994_11.6_R35_2_29,R35_2_29,33.24763,-119.57038,8,10,1994
5,0,Pink encrusting bryozoan,33.24763_-119.57038_7_4_1995_11.6_L15_2_30,L15_2_30,33.24763,-119.57038,7,4,1995
5,0,Pink encrusting bryozoan,33.24763_-119.57038_7_4_1995_11.6_R25_2_30,R25_2_30,33.24763,-119.57038,7,4,1995
5,0,Pink encrusting bryozoan,33.24763_-119.57038_7_4_1995_11.6_R35_2_30,R35_2_30,33.24763,-119.57038,7,4,1995
5,0,Pink encrusting bryozoan,33.24763_-119.57038_7_10_1995_11.6_L15_2_31,L15_2_31,33.24763,-119.57038,7,10,1995
5,0,Pink encrusting bryozoan,33.24763_-119.57038_7_10_1995_11.6_R05_2_31,R05_2_31,33.24763,-119.57038,7,10,1995
5,0,Pink encrusting bryozoan,33.24763_-119.57038_7_10_1995_11.6_R10_2_31,R10_2_31,33.24763,-119.57038,7,10,1995
5,0,Pink encrusting bryozoan,33.24763_-119.57038_7_10_1995_11.6_R15_2_31,R15_2_31,33.24763,-119.57038,7,10,1995
5,0,Pink encrusting bryozoan,33.24763_-119.57038_30_4_1996_11.6_L15_2_32,L15_2_32,33.24763,-119.57038,30,4,1996
5,0,Pink encrusting bryozoan,33.24763_-119.57038_30_4_1996_11.6_L35_2_32,L35_2_32,33.24763,-119.57038,30,4,1996
5,0,Pink encrusting bryozoan,33.24763_-119.57038_30_4_1996_11.6_R05_2_32,R05_2_32,33.24763,-119.57038,30,4,1996
5,0,Pink encrusting bryozoan,33.24763_-119.57038_6_10_1996_11.6_R05_2_33,R05_2_33,33.24763,-119.57038,6,10,1996
5,0,Pink encrusting bryozoan,33.24763_-119.57038_7_10_1996_11.6_R15_2_33,R15_2_33,33.24763,-119.57038,7,10,1996
5,0,Pink encrusting bryozoan,33.24763_-119.57038_7_10_1996_11.6_R35_2_33,R35_2_33,33.24763,-119.57038,7,10,1996
5,0,Pink encrusting bryozoan,33.24763_-119.57038_18_4_1997_11.6_L05_2_34,L05_2_34,33.24763,-119.57038,18,4,1997
5,0,Pink encrusting bryozoan,33.24763_-119.57038_18_4_1997_11.6_L15_2_34,L15_2_34,33.24763,-119.57038,18,4,1997
5,0,Pink encrusting bryozoan,33.24763_-119.57038_18_4_1997_11.6_R35_2_34,R35_2_34,33.24763,-119.57038,18,4,1997
5,0,Pink encrusting bryozoan,33.24763_-119.57038_17_10_1997_11.6_L15_2_35,L15_2_35,33.24763,-119.57038,17,10,1997
5,0,Pink encrusting bryozoan,33.24763_-119.57038_17_10_1997_11.6_L25_2_35,L25_2_35,33.24763,-119.57038,17,10,1997
5,0,Pink encrusting bryozoan,33.24763_-119.57038_17_10_1997_11.6_R05_2_35,R05_2_35,33.24763,-119.57038,17,10,1997
5,0,Pink encrusting bryozoan,33.24763_-119.57038_17_10_1997_11.6_R15_2_35,R15_2_35,33.24763,-119.57038,17,10,1997
5,0,Pink encrusting bryozoan,33.24763_-119.57038_12_10_1999_11.6_L05_2_39,L05_2_39,33.24763,-119.57038,12,10,1999
5,0,Pink encrusting bryozoan,33.24763_-119.57038_12_10_1999_11.6_L10_2_39,L10_2_39,33.24763,-119.57038,12,10,1999
5,0,Pink encrusting bryozoan,33.24763_-119.57038_12_10_1999_11.6_R15_2_39,R15_2_39,33.24763,-119.57038,12,10,1999
5,0,Pink encrusting bryozoan,33.24763_-119.57038_17_10_2001_11.6_L25_2_43,L25_2_43,33.24763,-119.57038,17,10,2001
5,0,Pink encrusting bryozoan,33.24763_-119.57038_17_10_2001_11.6_R35_2_43,R35_2_43,33.24763,-119.57038,17,10,2001
5,0,Pink encrusting bryozoan,33.24763_-119.57038_3_5_2002_11.6_L05_2_44,L05_2_44,33.24763,-119.57038,3,5,2002
5,0,Pink encrusting bryozoan,33.24763_-119.57038_3_5_2002_11.6_R25_2_44,R25_2_44,33.24763,-119.57038,3,5,2002
5,0,Pink encrusting bryozoan,33.24763_-119.57038_10_10_2002_11.6_R25_2_45,R25_2_45,33.24763,-119.57038,10,10,2002
5,0,Pink encrusting bryozoan,33.24763_-119.57038_2_5_2003_11.6_R15_2_46,R15_2_46,33.24763,-119.57038,2,5,2003
5,0,Pink encrusting bryozoan,33.24763_-119.57038_16_10_2003_11.6_L05_2_47,L05_2_47,33.24763,-119.57038,16,10,2003
5,0,Pink encrusting bryozoan,33.24763_-119.57038_16_10_2003_11.6_L15_2_47,L15_2_47,33.24763,-119.57038,16,10,2003
5,0,Pink encrusting bryozoan,33.24763_-119.57038_16_10_2003_11.6_R10_2_47,R10_2_47,33.24763,-119.57038,16,10,2003
5,0,Pink encrusting bryozoan,33.24763_-119.57038_12_5_2005_11.6_R35_2_50,R35_2_50,33.24763,-119.57038,12,5,2005
5,0,Pink encrusting bryozoan,33.24763_-119.57038_19_10_2005_11.6_L25_2_51,L25_2_51,33.24763,-119.57038,19,10,2005
5,0,Pink encrusting bryozoan,33.24763_-119.57038_19_10_2005_11.6_R10_2_51,R10_2_51,33.24763,-119.57038,19,10,2005
5,0,Pink encrusting bryozoan,33.24763_-119.57038_20_4_2006_11.6_L05_2_52,L05_2_52,33.24763,-119.57038,20,4,2006
5,0,Pink encrusting bryozoan,33.24763_-119.57038_20_4_2006_11.6_L10_2_52,L10_2_52,33.24763,-119.57038,20,4,2006
5,0,Pink encrusting bryozoan,33.24763_-119.57038_20_4_2006_11.6_L15_2_52,L15_2_52,33.24763,-119.57038,20,4,2006
5,0,Pink encrusting bryozoan,33.24763_-119.57038_20_4_2006_11.6_R10_2_52,R10_2_52,33.24763,-119.57038,20,4,2006
5,0,Pink encrusting bryozoan,33.24763_-119.57038_1_5_2007_11.6_L05_2_54,L05_2_54,33.24763,-119.57038,1,5,2007
5,0,Pink encrusting bryozoan,33.24763_-119.57038_1_5_2007_11.6_L35_2_54,L35_2_54,33.24763,-119.57038,1,5,2007
5,0,Pink encrusting bryozoan,33.24763_-119.57038_4_11_2007_11.6_R10_2_55,R10_2_55,33.24763,-119.57038,4,11,2007
5,0,Pink encrusting bryozoan,33.24763_-119.57038_29_6_2010_11.6_R35_2_60,R35_2_60,33.24763,-119.57038,29,6,2010
5,0,Pink encrusting bryozoan,33.24763_-119.57038_15_12_2010_11.6_L15_2_61,L15_2_61,33.24763,-119.57038,15,12,2010
5,0,Pink encrusting bryozoan,33.24763_-119.57038_15_12_2010_11.6_L35_2_61,L35_2_61,33.24763,-119.57038,15,12,2010
5,0,Pink encrusting bryozoan,33.24768_-119.57373_31_8_1980_11.6_L15_3_1,L15_3_1,33.24768,-119.57373,31,8,1980
5,0,Pink encrusting bryozoan,33.24768_-119.57373_13_9_1983_11.6_L40_3_7,L40_3_7,33.24768,-119.57373,13,9,1983
5,0,Pink encrusting bryozoan,33.24768_-119.57373_13_9_1983_11.6_R10_3_7,R10_3_7,33.24768,-119.57373,13,9,1983
5,0,Pink encrusting bryozoan,33.24768_-119.57373_5_10_1984_11.6_L05_3_9,L05_3_9,33.24768,-119.57373,5,10,1984
5,0,Pink encrusting bryozoan,33.24768_-119.57373_27_4_1985_11.6_R05_3_10,R05_3_10,33.24768,-119.57373,27,4,1985
5,0,Pink encrusting bryozoan,33.24768_-119.57373_6_9_1985_11.6_L40_3_11,L40_3_11,33.24768,-119.57373,6,9,1985
5,0,Pink encrusting bryozoan,33.24768_-119.57373_6_9_1985_11.6_R45_3_11,R45_3_11,33.24768,-119.57373,6,9,1985
5,0,Pink encrusting bryozoan,33.24768_-119.57373_22_10_1993_11.6_R10_3_27,R10_3_27,33.24768,-119.57373,22,10,1993
5,0,Pink encrusting bryozoan,33.24768_-119.57373_18_4_1994_11.6_R45_3_28,R45_3_28,33.24768,-119.57373,18,4,1994
5,0,Pink encrusting bryozoan,33.24768_-119.57373_8_10_1994_11.6_L05_3_29,L05_3_29,33.24768,-119.57373,8,10,1994
5,0,Pink encrusting bryozoan,33.24768_-119.57373_8_10_1994_11.6_L10_3_29,L10_3_29,33.24768,-119.57373,8,10,1994
5,0,Pink encrusting bryozoan,33.24768_-119.57373_8_10_1994_11.6_L25_3_29,L25_3_29,33.24768,-119.57373,8,10,1994
5,0,Pink encrusting bryozoan,33.24768_-119.57373_7_4_1995_11.6_R45_3_30,R45_3_30,33.24768,-119.57373,7,4,1995
5,0,Pink encrusting bryozoan,33.24768_-119.57373_7_10_1995_11.6_L40_3_31,L40_3_31,33.24768,-119.57373,7,10,1995
5,0,Pink encrusting bryozoan,33.24768_-119.57373_30_4_1996_11.6_L20_3_32,L20_3_32,33.24768,-119.57373,30,4,1996
5,0,Pink encrusting bryozoan,33.24768_-119.57373_6_10_1996_11.6_L20_3_33,L20_3_33,33.24768,-119.57373,6,10,1996
5,0,Pink encrusting bryozoan,33.24768_-119.57373_6_10_1996_11.6_R20_3_33,R20_3_33,33.24768,-119.57373,6,10,1996
5,0,Pink encrusting bryozoan,33.24768_-119.57373_6_10_1996_11.6_R45_3_33,R45_3_33,33.24768,-119.57373,6,10,1996
5,0,Pink encrusting bryozoan,33.24768_-119.57373_18_4_1997_11.6_L20_3_34,L20_3_34,33.24768,-119.57373,18,4,1997
5,0,Pink encrusting bryozoan,33.24768_-119.57373_18_4_1997_11.6_R10_3_34,R10_3_34,33.24768,-119.57373,18,4,1997
5,0,Pink encrusting bryozoan,33.24768_-119.57373_17_10_1997_11.6_L25_3_35,L25_3_35,33.24768,-119.57373,17,10,1997
5,0,Pink encrusting bryozoan,33.24768_-119.57373_17_10_1997_11.6_R10_3_35,R10_3_35,33.24768,-119.57373,17,10,1997
5,0,Pink encrusting bryozoan,33.24768_-119.57373_4_5_2001_11.6_L20_3_42,L20_3_42,33.24768,-119.57373,4,5,2001
5,0,Pink encrusting bryozoan,33.24768_-119.57373_30_4_2002_11.6_L10_3_44,L10_3_44,33.24768,-119.57373,30,4,2002
5,0,Pink encrusting bryozoan,33.24768_-119.57373_30_4_2002_11.6_R10_3_44,R10_3_44,33.24768,-119.57373,30,4,2002
5,0,Pink encrusting bryozoan,33.24768_-119.57373_16_10_2003_11.6_R20_3_47,R20_3_47,33.24768,-119.57373,16,10,2003
5,0,Pink encrusting bryozoan,33.24768_-119.57373_12_5_2005_11.6_R05_3_50,R05_3_50,33.24768,-119.57373,12,5,2005
5,0,Pink encrusting bryozoan,33.24768_-119.57373_12_5_2005_11.6_R45_3_50,R45_3_50,33.24768,-119.57373,12,5,2005
5,0,Pink encrusting bryozoan,33.24768_-119.57373_19_10_2005_11.6_L05_3_51,L05_3_51,33.24768,-119.57373,19,10,2005
5,0,Pink encrusting bryozoan,33.24768_-119.57373_19_10_2005_11.6_L25_3_51,L25_3_51,33.24768,-119.57373,19,10,2005
5,0,Pink encrusting bryozoan,33.24768_-119.57373_19_10_2005_11.6_L45_3_51,L45_3_51,33.24768,-119.57373,19,10,2005
5,0,Pink encrusting bryozoan,33.24768_-119.57373_19_10_2005_11.6_R10_3_51,R10_3_51,33.24768,-119.57373,19,10,2005
5,0,Pink encrusting bryozoan,33.24768_-119.57373_19_10_2005_11.6_R20_3_51,R20_3_51,33.24768,-119.57373,19,10,2005
5,0,Pink encrusting bryozoan,33.24768_-119.57373_19_10_2005_11.6_R45_3_51,R45_3_51,33.24768,-119.57373,19,10,2005
5,0,Pink encrusting bryozoan,33.24768_-119.57373_20_4_2006_11.6_R20_3_52,R20_3_52,33.24768,-119.57373,20,4,2006
5,0,Pink encrusting bryozoan,33.24768_-119.57373_20_4_2006_11.6_R45_3_52,R45_3_52,33.24768,-119.57373,20,4,2006
5,0,Pink encrusting bryozoan,33.24768_-119.57373_19_10_2006_11.6_L10_3_53,L10_3_53,33.24768,-119.57373,19,10,2006
5,0,Pink encrusting bryozoan,33.24768_-119.57373_19_10_2006_11.6_L25_3_53,L25_3_53,33.24768,-119.57373,19,10,2006
5,0,Pink encrusting bryozoan,33.24768_-119.57373_19_10_2006_11.6_R10_3_53,R10_3_53,33.24768,-119.57373,19,10,2006
5,0,Pink encrusting bryozoan,33.24768_-119.57373_1_5_2007_11.6_L10_3_54,L10_3_54,33.24768,-119.57373,1,5,2007
5,0,Pink encrusting bryozoan,33.24768_-119.57373_1_5_2007_11.6_L40_3_54,L40_3_54,33.24768,-119.57373,1,5,2007
5,0,Pink encrusting bryozoan,33.24768_-119.57373_4_11_2007_11.6_R45_3_55,R45_3_55,33.24768,-119.57373,4,11,2007
5,0,Pink encrusting bryozoan,33.24768_-119.57373_22_10_2008_11.6_L10_3_57,L10_3_57,33.24768,-119.57373,22,10,2008
5,0,Pink encrusting bryozoan,33.24768_-119.57373_22_10_2008_11.6_R05_3_57,R05_3_57,33.24768,-119.57373,22,10,2008
5,0,Pink encrusting bryozoan,33.24768_-119.57373_22_10_2008_11.6_R10_3_57,R10_3_57,33.24768,-119.57373,22,10,2008
5,0,Pink encrusting bryozoan,33.24768_-119.57373_22_10_2008_11.6_R20_3_57,R20_3_57,33.24768,-119.57373,22,10,2008
5,0,Pink encrusting bryozoan,33.24768_-119.57373_29_6_2010_11.6_R45_3_60,R45_3_60,33.24768,-119.57373,29,6,2010
5,0,Pink encrusting bryozoan,33.24768_-119.57373_15_12_2010_11.6_L10_3_61,L10_3_61,33.24768,-119.57373,15,12,2010
5,0,Pink encrusting bryozoan,33.24768_-119.57373_15_12_2010_11.6_L25_3_61,L25_3_61,33.24768,-119.57373,15,12,2010
5,0,Pink encrusting bryozoan,33.24768_-119.57373_15_12_2010_11.6_L40_3_61,L40_3_61,33.24768,-119.57373,15,12,2010
5,0,Pink encrusting bryozoan,33.24768_-119.57373_15_12_2010_11.6_R20_3_61,R20_3_61,33.24768,-119.57373,15,12,2010
5,0,Pink encrusting bryozoan,33.24768_-119.57373_23_10_2011_11.6_L20_3_63,L20_3_63,33.24768,-119.57373,23,10,2011
5,0,Pink encrusting bryozoan,33.24768_-119.57373_23_10_2011_11.6_R05_3_63,R05_3_63,33.24768,-119.57373,23,10,2011
5,0,Pink encrusting bryozoan,33.24768_-119.57373_23_10_2011_11.6_R20_3_63,R20_3_63,33.24768,-119.57373,23,10,2011
5,0,Pink encrusting bryozoan,33.21665_-119.48542_29_8_1980_13.7_L20_4_1,L20_4_1,33.21665,-119.48542,29,8,1980
5,0,Pink encrusting bryozoan,33.21665_-119.48542_29_8_1980_13.7_L35_4_1,L35_4_1,33.21665,-119.48542,29,8,1980
5,0,Pink encrusting bryozoan,33.21665_-119.48542_29_8_1980_13.7_R25_4_1,R25_4_1,33.21665,-119.48542,29,8,1980
5,0,Pink encrusting bryozoan,33.21665_-119.48542_29_4_1981_13.7_L30_4_2,L30_4_2,33.21665,-119.48542,29,4,1981
5,0,Pink encrusting bryozoan,33.21665_-119.48542_29_4_1981_13.7_R35_4_2,R35_4_2,33.21665,-119.48542,29,4,1981
5,0,Pink encrusting bryozoan,33.21665_-119.48542_20_10_1981_13.7_L25_4_3,L25_4_3,33.21665,-119.48542,20,10,1981
5,0,Pink encrusting bryozoan,33.21665_-119.48542_27_4_1982_13.7_L25_4_4,L25_4_4,33.21665,-119.48542,27,4,1982
5,0,Pink encrusting bryozoan,33.21665_-119.48542_27_4_1982_13.7_R15_4_4,R15_4_4,33.21665,-119.48542,27,4,1982
5,0,Pink encrusting bryozoan,33.21665_-119.48542_27_4_1982_13.7_R35_4_4,R35_4_4,33.21665,-119.48542,27,4,1982
5,0,Pink encrusting bryozoan,33.21665_-119.48542_17_10_1982_13.7_L20_4_5,L20_4_5,33.21665,-119.48542,17,10,1982
5,0,Pink encrusting bryozoan,33.21665_-119.48542_17_10_1982_13.7_L25_4_5,L25_4_5,33.21665,-119.48542,17,10,1982
5,0,Pink encrusting bryozoan,33.21665_-119.48542_17_10_1982_13.7_L30_4_5,L30_4_5,33.21665,-119.48542,17,10,1982
5,0,Pink encrusting bryozoan,33.21665_-119.48542_17_10_1982_13.7_R25_4_5,R25_4_5,33.21665,-119.48542,17,10,1982
5,0,Pink encrusting bryozoan,33.21665_-119.48542_26_4_1983_13.7_L20_4_6,L20_4_6,33.21665,-119.48542,26,4,1983
5,0,Pink encrusting bryozoan,33.21665_-119.48542_26_4_1983_13.7_L25_4_6,L25_4_6,33.21665,-119.48542,26,4,1983
5,0,Pink encrusting bryozoan,33.21665_-119.48542_26_4_1983_13.7_R10_4_6,R10_4_6,33.21665,-119.48542,26,4,1983
5,0,Pink encrusting bryozoan,33.21665_-119.48542_26_4_1983_13.7_R15_4_6,R15_4_6,33.21665,-119.48542,26,4,1983
5,0,Pink encrusting bryozoan,33.21665_-119.48542_14_9_1983_13.7_L15_4_7,L15_4_7,33.21665,-119.48542,14,9,1983
5,0,Pink encrusting bryozoan,33.21665_-119.48542_14_9_1983_13.7_R10_4_7,R10_4_7,33.21665,-119.48542,14,9,1983
5,0,Pink encrusting bryozoan,33.21665_-119.48542_14_9_1983_13.7_R15_4_7,R15_4_7,33.21665,-119.48542,14,9,1983
